x,y,y2
3.554555e+00,1.885353e+00,1.734025e+00
3.583584e+00,1.893036e+00,1.731090e+00
3.612613e+00,1.900687e+00,1.728183e+00
3.641642e+00,1.908309e+00,1.725314e+00
3.670671e+00,1.915899e+00,1.722494e+00
3.699700e+00,1.923460e+00,1.719735e+00
3.728729e+00,1.930992e+00,1.717046e+00
3.757758e+00,1.938494e+00,1.714439e+00
3.786787e+00,1.945967e+00,1.711924e+00
3.815816e+00,1.953411e+00,1.709512e+00
3.844845e+00,1.960828e+00,1.707213e+00
3.873874e+00,1.968216e+00,1.705039e+00
3.902903e+00,1.975577e+00,1.702998e+00
3.931932e+00,1.982910e+00,1.701102e+00
3.960961e+00,1.990216e+00,1.699360e+00
3.989990e+00,1.997496e+00,1.697783e+00
4.019019e+00,2.004749e+00,1.696380e+00
4.048048e+00,2.011976e+00,1.695161e+00
4.077077e+00,2.019177e+00,1.694136e+00
4.106106e+00,2.026353e+00,1.693313e+00
4.135135e+00,2.033503e+00,1.692702e+00
4.164164e+00,2.040628e+00,1.692313e+00
4.193193e+00,2.047729e+00,1.692154e+00
4.222222e+00,2.054805e+00,1.692233e+00
4.251251e+00,2.061856e+00,1.692558e+00
4.280280e+00,2.068884e+00,1.693139e+00
4.309309e+00,2.075888e+00,1.693984e+00
4.338338e+00,2.082868e+00,1.695098e+00
4.367367e+00,2.089825e+00,1.696491e+00
4.396396e+00,2.096759e+00,1.698170e+00
4.425425e+00,2.103670e+00,1.700140e+00
4.454454e+00,2.110558e+00,1.702410e+00
4.483483e+00,2.117424e+00,1.704985e+00
4.512513e+00,2.124268e+00,1.707872e+00
4.541542e+00,2.131089e+00,1.711077e+00
4.570571e+00,2.137889e+00,1.714604e+00
4.599600e+00,2.144668e+00,1.718460e+00
4.628629e+00,2.151425e+00,1.722648e+00
4.657658e+00,2.158161e+00,1.727175e+00
4.686687e+00,2.164876e+00,1.732044e+00
4.715716e+00,2.171570e+00,1.737258e+00
4.744745e+00,2.178243e+00,1.742823e+00
4.773774e+00,2.184897e+00,1.748740e+00
4.802803e+00,2.191530e+00,1.755014e+00
4.831832e+00,2.198143e+00,1.761647e+00
4.860861e+00,2.204736e+00,1.768640e+00
4.889890e+00,2.211310e+00,1.775996e+00
4.918919e+00,2.217864e+00,1.783718e+00
4.947948e+00,2.224398e+00,1.791804e+00
4.976977e+00,2.230914e+00,1.800258e+00
5.006006e+00,2.237411e+00,1.809079e+00
5.035035e+00,2.243888e+00,1.818268e+00
5.064064e+00,2.250348e+00,1.827824e+00
5.093093e+00,2.256788e+00,1.837746e+00
5.122122e+00,2.263211e+00,1.848035e+00
5.151151e+00,2.269615e+00,1.858688e+00
5.180180e+00,2.276001e+00,1.869705e+00
5.209209e+00,2.282369e+00,1.881082e+00
5.238238e+00,2.288720e+00,1.892818e+00
5.267267e+00,2.295053e+00,1.904910e+00
5.296296e+00,2.301368e+00,1.917355e+00
5.325325e+00,2.307667e+00,1.930150e+00
5.354354e+00,2.313948e+00,1.943290e+00
5.383383e+00,2.320212e+00,1.956772e+00
5.412412e+00,2.326459e+00,1.970591e+00
5.441441e+00,2.332690e+00,1.984743e+00
5.470470e+00,2.338904e+00,1.999222e+00
5.499499e+00,2.345101e+00,2.014022e+00
5.528529e+00,2.351282e+00,2.029138e+00
5.557558e+00,2.357447e+00,2.044564e+00
5.586587e+00,2.363596e+00,2.060294e+00
5.615616e+00,2.369729e+00,2.076319e+00
5.644645e+00,2.375846e+00,2.092634e+00
5.673674e+00,2.381947e+00,2.109230e+00
5.702703e+00,2.388033e+00,2.126101e+00
5.731732e+00,2.394104e+00,2.143237e+00
5.760761e+00,2.400158e+00,2.160631e+00
5.789790e+00,2.406198e+00,2.178274e+00
5.818819e+00,2.412223e+00,2.196157e+00
5.847848e+00,2.418232e+00,2.214271e+00
5.876877e+00,2.424227e+00,2.232606e+00
5.905906e+00,2.430207e+00,2.251153e+00
5.934935e+00,2.436172e+00,2.269902e+00
5.963964e+00,2.442123e+00,2.288842e+00
